Name, Price
EVGA GeForce 210 DirectX 10.1 01G-P3-1313-KR 1GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card,€39.99 (2 Offers)
ASRock Radeon RX 5700 DirectX 12 RX 5700 CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,€ 341.99
GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,€ 485.48
EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans,€330.99 (2 Offers)
EVGA GeForce GTX 1070 Ti SC GAMING 08G-P4-5671-KR 8GB GDDR5 ACX 3.0 & Black Edition,€ 678.97
EVGA GeForce RTX 2060 SC GAMING| 06G-P4-2062-KR| 6GB GDDR6| HDB Fan,€325.99 (2 Offers)
EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING| 08G-P4-3067-KR| 8GB GDDR6| Dual HDB Fans| Metal Backplate,€403.34 (3 Offers)
MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT GAMING X 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,€426.99 (2 Offers)
EVGA GeForce RTX 2080 XC ULTRA GAMING| 08G-P4-2183-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,€660.99 (4 Offers)
MSI GeForce RTX 2070 DirectX 12 RTX 2070 AERO 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,€505.04 (2 Offers)
XFX Radeon RX 5700 XT DirectX 12 RX-57XT8MFD6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,€374.62 (3 Offers)
EVGA GeForce RTX 2070 XC BLACK EDITION GAMING| 08G-P4-1171-KR| 8GB GDDR6| Dual HDB Fans,€477.99 (2 Offers)
EVGA GeForce RTX 2080 SUPER FTW3 HYBRID GAMING Video Card| 08G-P4-3288-KR| 8GB GDDR6| RGB LED Logo| iCX2 Technology| Metal Backplate,€775.83 (3 Offers)
GIGABYTE RTX 2080 TI TURBO GV-N208TTURBO-11GC Video Card,€1.390.37
ASRock Phantom Gaming Radeon RX 550 DirectX 12 RX550 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card,€ 81.99
EVGA GeForce GTX 1660 XC Black GAMING| 06G-P4-1161-KR| 6GB GDDR5| HDB Fan,€219.99 (3 Offers)
EVGA GeForce GT 710 DirectX 12 01G-P3-2711-KR 1GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card,€57.29 (2 Offers)
XFX Radeon RX 5700 XT THICC II RX-57XT826D6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,€ 398.99
ASUS Dual GeForce GTX 1060 DirectX 12 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,€237.99 (2 Offers)
MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 4G OCV1 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,€ 161.99
EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR| 8GB GDDR6,€492.99 (3 Offers)
EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card| 08G-P4-3183-KR| 8GB GDDR6| RGB LED| Metal Backplate,€724.99 (3 Offers)
